G,wL,wp,IP,% clay,% silt,% sand,Pressure intensity,Cv
2.7,37,18,19,26,38.5,35.5,25,15.1092254
2.7,37,18,19,26,38.5,35.5,50,19.65387409
2.7,37,18,19,26,38.5,35.5,100,19.29628424
2.7,37,18,19,26,38.5,35.5,200,11.5161656
2.7,37,18,19,26,38.5,35.5,400,10.82770531
2.7,37,18,19,26,38.5,35.5,800,8.199360678
2.64,33,19,14,9,47,44,50,1.4601168
2.64,33,19,14,9,47,44,100,2.0277648
2.64,33,19,14,9,47,44,200,2.3084352
2.64,33,19,14,9,47,44,400,2.5670304
2.64,33,19,14,9,47,44,800,2.554416
2.66,65,32,33,34,57,9,50,1.2015216
2.66,65,32,33,34,57,9,100,0.9523872
2.66,65,32,33,34,57,9,200,0.9019296
2.66,65,32,33,34,57,9,400,0.6591024
2.66,65,32,33,34,57,9,800,0.409968
2.51,35,23,12,41,20,39,8.45,2.157772622
2.51,35,23,12,41,20,39,28.05,4.060324826
2.51,35,23,12,41,20,39,54.9,3.549883991
2.51,35,23,12,41,20,39,108.76,6.890951276
2.51,35,23,12,41,20,39,215.44,8.236658933
2.51,35,23,12,41,20,39,865.96,9.582366589
2.62,83,36,47,50,41,9,8.32,0.314769976
2.62,83,36,47,50,41,9,15.19,0.0968523
2.62,83,36,47,50,41,9,27.72,0.1937046
2.62,83,36,47,50,41,9,54.56,0.217917676
2.62,83,36,47,50,41,9,107.36,0.266343826
2.62,83,36,47,50,41,9,213.95,0.242130751
2.62,83,36,47,50,41,9,421.04,0.266343826
2.62,83,36,47,50,41,9,839.03,0.1937046
2.64,38,16,22,20,28,52,100,5.67648
2.64,38,16,22,20,28,52,200,12.92976
2.64,38,16,22,20,28,52,400,15.768
2.67,93,36,57,33,48,19,100,2.52288
2.67,93,36,57,33,48,19,200,2.52288
2.67,93,36,57,33,48,19,400,2.52288
2.67,103,41,62,40,59,1,100,6.3072
2.67,103,41,62,40,59,1,200,4.41504
2.67,103,41,62,40,59,1,400,4.41504
2.67,93,36,57,33,48,19,200,2.52288
2.67,93,36,57,33,48,19,400,2.52288
2.67,93,36,57,33,48,19,800,3.1536
2.67,93,36,57,33,48,19,200,3.46896
2.67,93,36,57,33,48,19,400,3.78432
2.67,93,36,57,33,48,19,800,5.04576
2.65,39,21,18,48,45,7,25,0.33
2.65,39,21,18,48,45,7,50,0.44
2.65,39,21,18,48,45,7,100,0.57
2.65,39,21,18,48,45,7,200,0.73
2.65,39,21,18,48,45,7,400,0.3
2.65,39,21,18,48,45,7,800,0.36
2.5,42,19,23,52.5,35.5,12,50,0.46
2.5,42,19,23,52.5,35.5,12,100,0.78
2.5,42,19,23,52.5,35.5,12,200,0.83
2.5,42,19,23,52.5,35.5,12,400,0.37
2.5,42,19,23,52.5,35.5,12,800,0.37
2.45,98,40,58,75,23,2,25,0.8735472
2.45,98,40,58,75,23,2,50,0.0883008
2.45,98,40,58,75,23,2,100,0.1324512
2.45,98,40,58,75,23,2,200,0.1545264
2.45,98,40,58,75,23,2,400,0.094608
2.45,98,40,58,75,23,2,800,0.0756864
2.55,83.9,24,59.9,73,25,2,25,0.36
2.55,83.9,24,59.9,73,25,2,50,0.25
2.55,83.9,24,59.9,73,25,2,100,0.14
2.55,83.9,24,59.9,73,25,2,200,0.14
2.55,83.9,24,59.9,73,25,2,400,0.084
2.55,83.9,24,59.9,73,25,2,800,0.072
2.46,83.5,25,58.5,75,24,1,25,0.29
2.46,83.5,25,58.5,75,24,1,50,0.28
2.46,83.5,25,58.5,75,24,1,100,0.31
2.46,83.5,25,58.5,75,24,1,200,0.16
2.46,83.5,25,58.5,75,24,1,400,0.1
2.46,83.5,25,58.5,75,24,1,800,0.095
2.65,162,56,106,56,44,0,25,0.24
2.65,162,56,106,56,44,0,50,0.37
2.65,162,56,106,56,44,0,100,0.34
2.65,162,56,106,56,44,0,200,0.28
2.65,162,56,106,56,44,0,400,0.28
2.65,162,56,106,56,44,0,800,0.3
2.66,139,34,102,40,60,7,25,0.17
2.66,139,34,102,40,60,7,50,0.27
2.66,139,34,102,40,60,7,100,0.24
2.66,139,34,102,40,60,7,200,0.22
2.66,139,34,102,40,60,7,400,0.24
2.66,139,34,102,40,60,7,800,0.24
2.65,119,40,79,36,64,0,25,0.3
2.65,119,40,79,36,64,0,50,0.41
2.65,119,40,79,36,64,0,100,0.42
2.65,119,40,79,36,64,0,200,0.55
2.65,119,40,79,36,64,0,400,0.27
2.65,119,40,79,36,64,0,800,0.24
2.66,32,15,17,43,43,14,25,0.696535026
2.66,32,15,17,43,43,14,50,0.81627179
2.66,32,15,17,43,43,14,100,1.060832975
2.66,32,15,17,43,43,14,200,1.208646672
